70035 silly lifecycle ordered-ast-traverse@1.1.1~preinstall: no script for preinstall, continuing
71342 verbose linkBins batch@0.5.3
71343 verbose linkMans batch@0.5.3
71344 silly build benchmark@1.0.0
71345 info linkStuff benchmark@1.0.0
71346 silly linkStuff benchmark@1.0.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71347 verbose linkBins benchmark@1.0.0
71348 verbose linkMans benchmark@1.0.0
71349 silly build binary-extensions@1.7.0
71350 info linkStuff binary-extensions@1.7.0
71351 silly linkStuff binary-extensions@1.7.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71352 verbose linkBins binary-extensions@1.7.0
71353 verbose linkMans binary-extensions@1.7.0
71354 silly build blob@0.0.4
71355 info linkStuff blob@0.0.4
71356 silly linkStuff blob@0.0.4 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71357 verbose linkBins blob@0.0.4
71358 verbose linkMans blob@0.0.4
71359 silly build bloomfilter@0.0.16
71360 info linkStuff bloomfilter@0.0.16
71361 silly linkStuff bloomfilter@0.0.16 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71362 verbose linkBins bloomfilter@0.0.16
71363 verbose linkMans bloomfilter@0.0.16
71364 silly build bluebird@2.11.0
71365 info linkStuff bluebird@2.11.0
71366 silly linkStuff bluebird@2.11.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71367 verbose linkBins bluebird@2.11.0
71368 verbose linkMans bluebird@2.11.0
71369 silly build qs@5.2.0
71370 info linkStuff qs@5.2.0
71371 silly linkStuff qs@5.2.0 has /Users/Yann/Projects/angular-gettext/node_modules/body-parser/node_modules as its parent node_modules
71372 verbose linkBins qs@5.2.0
71373 verbose linkMans qs@5.2.0
71374 silly build bower@1.7.9
71375 info linkStuff bower@1.7.9
71376 silly linkStuff bower@1.7.9 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71377 verbose linkBins bower@1.7.9
71378 verbose link bins [ { bower: 'bin/bower' },
71378 verbose link bins   '/Users/Yann/Projects/angular-gettext/node_modules/.bin',
71378 verbose link bins   false ]
71379 verbose linkMans bower@1.7.9
71380 silly gentlyRm /Users/Yann/Projects/angular-gettext/node_modules/.bin/bower is being purged
71381 verbose gentlyRm don't care about contents; nuking /Users/Yann/Projects/angular-gettext/node_modules/.bin/bower
71382 silly build graceful-fs@4.1.9
71383 info linkStuff graceful-fs@4.1.9
71384 silly linkStuff graceful-fs@4.1.9 has /Users/Yann/Projects/angular-gettext/node_modules/bower-config/node_modules as its parent node_modules
71385 verbose linkBins graceful-fs@4.1.9
71386 verbose linkMans graceful-fs@4.1.9
71387 silly build buffer-shims@1.0.0
71388 info linkStuff buffer-shims@1.0.0
71389 silly linkStuff buffer-shims@1.0.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71390 verbose linkBins buffer-shims@1.0.0
71391 verbose linkMans buffer-shims@1.0.0
71392 silly build builtin-modules@1.1.1
71393 info linkStuff builtin-modules@1.1.1
71394 silly linkStuff builtin-modules@1.1.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71395 verbose linkBins builtin-modules@1.1.1
71396 verbose linkMans builtin-modules@1.1.1
71397 silly build bytes@2.2.0
71398 info linkStuff bytes@2.2.0
71399 silly linkStuff bytes@2.2.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71400 verbose linkBins bytes@2.2.0
71401 verbose linkMans bytes@2.2.0
71402 silly build callsite@1.0.0
71403 info linkStuff callsite@1.0.0
71404 silly linkStuff callsite@1.0.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71405 verbose linkBins callsite@1.0.0
71406 verbose linkMans callsite@1.0.0
71407 silly build better-assert@1.0.2
71408 info linkStuff better-assert@1.0.2
71409 silly linkStuff better-assert@1.0.2 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71410 verbose linkBins better-assert@1.0.2
71411 verbose linkMans better-assert@1.0.2
71412 silly build camelcase@2.1.1
71413 info linkStuff camelcase@2.1.1
71414 silly linkStuff camelcase@2.1.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71415 verbose linkBins camelcase@2.1.1
71416 verbose linkMans camelcase@2.1.1
71417 silly build canonical-path@0.0.2
71418 info linkStuff canonical-path@0.0.2
71419 silly linkStuff canonical-path@0.0.2 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71420 verbose linkBins canonical-path@0.0.2
71421 verbose linkMans canonical-path@0.0.2
71422 silly build caseless@0.11.0
71423 info linkStuff caseless@0.11.0
71424 silly linkStuff caseless@0.11.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71425 verbose linkBins caseless@0.11.0
71426 verbose linkMans caseless@0.11.0
71427 silly build wordwrap@0.0.2
71428 info linkStuff wordwrap@0.0.2
71429 silly linkStuff wordwrap@0.0.2 has /Users/Yann/Projects/angular-gettext/node_modules/cliui/node_modules as its parent node_modules
71430 verbose linkBins wordwrap@0.0.2
71431 verbose linkMans wordwrap@0.0.2
71432 silly build coffee-script@1.10.0
71433 info linkStuff coffee-script@1.10.0
71434 silly linkStuff coffee-script@1.10.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71435 warn prefer global coffee-script@1.10.0 should be installed with -g
71436 verbose linkBins coffee-script@1.10.0
71437 verbose link bins [ { coffee: './bin/coffee', cake: './bin/cake' },
71437 verbose link bins   '/Users/Yann/Projects/angular-gettext/node_modules/.bin',
71437 verbose link bins   false ]
71438 verbose linkMans coffee-script@1.10.0
71439 silly gentlyRm /Users/Yann/Projects/angular-gettext/node_modules/.bin/coffee is being purged
71440 verbose gentlyRm don't care about contents; nuking /Users/Yann/Projects/angular-gettext/node_modules/.bin/coffee
71441 silly gentlyRm /Users/Yann/Projects/angular-gettext/node_modules/.bin/cake is being purged
71442 verbose gentlyRm don't care about contents; nuking /Users/Yann/Projects/angular-gettext/node_modules/.bin/cake
71443 silly build colors@1.0.3
71444 info linkStuff colors@1.0.3
71445 silly linkStuff colors@1.0.3 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71446 verbose linkBins colors@1.0.3
71447 verbose linkMans colors@1.0.3
71448 silly build cli-table@0.3.1
71449 info linkStuff cli-table@0.3.1
71450 silly linkStuff cli-table@0.3.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71451 verbose linkBins cli-table@0.3.1
71452 verbose linkMans cli-table@0.3.1
71453 silly build component-bind@1.0.0
71454 info linkStuff component-bind@1.0.0
71455 silly linkStuff component-bind@1.0.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71456 verbose linkBins component-bind@1.0.0
71457 verbose linkMans component-bind@1.0.0
71458 silly build component-emitter@1.1.2
71459 info linkStuff component-emitter@1.1.2
71460 silly linkStuff component-emitter@1.1.2 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71461 verbose linkBins component-emitter@1.1.2
71462 verbose linkMans component-emitter@1.1.2
71463 silly build component-inherit@0.0.3
71464 info linkStuff component-inherit@0.0.3
71465 silly linkStuff component-inherit@0.0.3 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71466 verbose linkBins component-inherit@0.0.3
71467 verbose linkMans component-inherit@0.0.3
71468 silly build concat-map@0.0.1
71469 info linkStuff concat-map@0.0.1
71470 silly linkStuff concat-map@0.0.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71471 verbose linkBins concat-map@0.0.1
71472 verbose linkMans concat-map@0.0.1
71473 silly build brace-expansion@1.1.6
71474 info linkStuff brace-expansion@1.1.6
71475 silly linkStuff brace-expansion@1.1.6 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71476 verbose linkBins brace-expansion@1.1.6
71477 verbose linkMans brace-expansion@1.1.6
71478 silly build minimatch@3.0.3
71479 info linkStuff minimatch@3.0.3
71480 silly linkStuff minimatch@3.0.3 has /Users/Yann/Projects/angular-gettext/node_modules/cli/node_modules as its parent node_modules
71481 verbose linkBins minimatch@3.0.3
71482 verbose linkMans minimatch@3.0.3
71483 silly build connect-livereload@0.5.4
71484 info linkStuff connect-livereload@0.5.4
71485 silly linkStuff connect-livereload@0.5.4 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71486 verbose linkBins connect-livereload@0.5.4
71487 verbose linkMans connect-livereload@0.5.4
71488 silly build content-type@1.0.2
71489 info linkStuff content-type@1.0.2
71490 silly linkStuff content-type@1.0.2 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71491 verbose linkBins content-type@1.0.2
71492 verbose linkMans content-type@1.0.2
71493 silly build convert-source-map@1.1.3
71494 info linkStuff convert-source-map@1.1.3
71495 silly linkStuff convert-source-map@1.1.3 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71496 verbose linkBins convert-source-map@1.1.3
71497 verbose linkMans convert-source-map@1.1.3
71498 silly build cookie-jar@0.2.0
71499 info linkStuff cookie-jar@0.2.0
71500 silly linkStuff cookie-jar@0.2.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71501 verbose linkBins cookie-jar@0.2.0
71502 verbose linkMans cookie-jar@0.2.0
71503 silly build core-js@2.4.1
71504 info linkStuff core-js@2.4.1
71505 silly linkStuff core-js@2.4.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71506 verbose linkBins core-js@2.4.1
71507 verbose linkMans core-js@2.4.1
71508 silly build core-util-is@1.0.2
71509 info linkStuff core-util-is@1.0.2
71510 silly linkStuff core-util-is@1.0.2 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71511 verbose linkBins core-util-is@1.0.2
71512 verbose linkMans core-util-is@1.0.2
71513 silly build corser@2.0.1
71514 info linkStuff corser@2.0.1
71515 silly linkStuff corser@2.0.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71516 verbose linkBins corser@2.0.1
71517 verbose linkMans corser@2.0.1
71518 silly build currently-unhandled@0.4.1
71519 info linkStuff currently-unhandled@0.4.1
71520 silly linkStuff currently-unhandled@0.4.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71521 verbose linkBins currently-unhandled@0.4.1
71522 verbose linkMans currently-unhandled@0.4.1
71523 silly build custom-event@1.0.0
71524 info linkStuff custom-event@1.0.0
71525 silly linkStuff custom-event@1.0.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71526 verbose linkBins custom-event@1.0.0
71527 verbose linkMans custom-event@1.0.0
71528 silly build cycle@1.0.3
71529 info linkStuff cycle@1.0.3
71530 silly linkStuff cycle@1.0.3 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71531 verbose linkBins cycle@1.0.3
71532 verbose linkMans cycle@1.0.3
71533 silly build assert-plus@1.0.0
71534 info linkStuff assert-plus@1.0.0
71535 silly linkStuff assert-plus@1.0.0 has /Users/Yann/Projects/angular-gettext/node_modules/dashdash/node_modules as its parent node_modules
71536 verbose linkBins assert-plus@1.0.0
71537 verbose linkMans assert-plus@1.0.0
71538 silly build dashdash@1.14.0
71539 info linkStuff dashdash@1.14.0
71540 silly linkStuff dashdash@1.14.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71541 verbose linkBins dashdash@1.14.0
71542 verbose linkMans dashdash@1.14.0
71543 silly build date-now@0.1.4
71544 info linkStuff date-now@0.1.4
71545 silly linkStuff date-now@0.1.4 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71546 verbose linkBins date-now@0.1.4
71547 verbose linkMans date-now@0.1.4
71548 silly build console-browserify@1.1.0
71549 info linkStuff console-browserify@1.1.0
71550 silly linkStuff console-browserify@1.1.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71551 verbose linkBins console-browserify@1.1.0
71552 verbose linkMans console-browserify@1.1.0
71553 silly build decamelize@1.2.0
71554 info linkStuff decamelize@1.2.0
71555 silly linkStuff decamelize@1.2.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71556 verbose linkBins decamelize@1.2.0
71557 verbose linkMans decamelize@1.2.0
71558 silly build type-detect@0.1.1
71559 info linkStuff type-detect@0.1.1
71560 silly linkStuff type-detect@0.1.1 has /Users/Yann/Projects/angular-gettext/node_modules/deep-eql/node_modules as its parent node_modules
71561 verbose linkBins type-detect@0.1.1
71562 verbose linkMans type-detect@0.1.1
71563 silly build deep-eql@0.1.3
71564 info linkStuff deep-eql@0.1.3
71565 silly linkStuff deep-eql@0.1.3 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71566 verbose linkBins deep-eql@0.1.3
71567 verbose linkMans deep-eql@0.1.3
71568 silly build deep-equal@1.0.1
71569 info linkStuff deep-equal@1.0.1
71570 silly linkStuff deep-equal@1.0.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71571 verbose linkBins deep-equal@1.0.1
71572 verbose linkMans deep-equal@1.0.1
71573 silly build delayed-stream@0.0.5
71574 info linkStuff delayed-stream@0.0.5
71575 silly linkStuff delayed-stream@0.0.5 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71576 verbose linkBins delayed-stream@0.0.5
71577 verbose linkMans delayed-stream@0.0.5
71578 silly build combined-stream@0.0.7
71579 info linkStuff combined-stream@0.0.7
71580 silly linkStuff combined-stream@0.0.7 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71581 verbose linkBins combined-stream@0.0.7
71582 verbose linkMans combined-stream@0.0.7
71583 silly build depd@1.1.0
71584 info linkStuff depd@1.1.0
71585 silly linkStuff depd@1.1.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71586 verbose linkBins depd@1.1.0
71587 verbose linkMans depd@1.1.0
71588 silly build dependency-graph@0.4.1
71589 info linkStuff dependency-graph@0.4.1
71590 silly linkStuff dependency-graph@0.4.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71591 verbose linkBins dependency-graph@0.4.1
71592 verbose linkMans dependency-graph@0.4.1
71593 silly build destroy@1.0.4
71594 info linkStuff destroy@1.0.4
71595 silly linkStuff destroy@1.0.4 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71596 verbose linkBins destroy@1.0.4
71597 verbose linkMans destroy@1.0.4
71598 silly build async@0.2.10
71599 info linkStuff async@0.2.10
71600 silly linkStuff async@0.2.10 has /Users/Yann/Projects/angular-gettext/node_modules/dgeni-packages/node_modules as its parent node_modules
71601 verbose linkBins async@0.2.10
71602 verbose linkMans async@0.2.10
71603 silly build colors@0.6.2
71604 info linkStuff colors@0.6.2
71605 silly linkStuff colors@0.6.2 has /Users/Yann/Projects/angular-gettext/node_modules/dgeni-packages/node_modules as its parent node_modules
71606 verbose linkBins colors@0.6.2
71607 verbose linkMans colors@0.6.2
71608 silly build lodash@2.4.2
71609 info linkStuff lodash@2.4.2
71610 silly linkStuff lodash@2.4.2 has /Users/Yann/Projects/angular-gettext/node_modules/dgeni-packages/node_modules as its parent node_modules
71611 verbose linkBins lodash@2.4.2
71612 verbose linkMans lodash@2.4.2
71613 silly build q@1.0.1
71614 info linkStuff q@1.0.1
71615 silly linkStuff q@1.0.1 has /Users/Yann/Projects/angular-gettext/node_modules/dgeni-packages/node_modules as its parent node_modules
71616 verbose linkBins q@1.0.1
71617 verbose linkMans q@1.0.1
71618 silly build lodash@3.10.1
71619 info linkStuff lodash@3.10.1
71620 silly linkStuff lodash@3.10.1 has /Users/Yann/Projects/angular-gettext/node_modules/dgeni/node_modules as its parent node_modules
71621 verbose linkBins lodash@3.10.1
71622 verbose linkMans lodash@3.10.1
71623 silly build di@0.0.1
71624 info linkStuff di@0.0.1
71625 silly linkStuff di@0.0.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71626 verbose linkBins di@0.0.1
71627 verbose linkMans di@0.0.1
71628 silly build diff@1.4.0
71629 info linkStuff diff@1.4.0
71630 silly linkStuff diff@1.4.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71631 verbose linkBins diff@1.4.0
71632 verbose linkMans diff@1.4.0
71633 silly build domelementtype@1.1.3
71634 info linkStuff domelementtype@1.1.3
71635 silly linkStuff domelementtype@1.1.3 has /Users/Yann/Projects/angular-gettext/node_modules/dom-serializer/node_modules as its parent node_modules
71636 verbose linkBins domelementtype@1.1.3
71637 verbose linkMans domelementtype@1.1.3
71638 silly build domelementtype@1.3.0
71639 info linkStuff domelementtype@1.3.0
71640 silly linkStuff domelementtype@1.3.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71641 verbose linkBins domelementtype@1.3.0
71642 verbose linkMans domelementtype@1.3.0
71643 silly build domhandler@2.3.0
71644 info linkStuff domhandler@2.3.0
71645 silly linkStuff domhandler@2.3.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71646 verbose linkBins domhandler@2.3.0
71647 verbose linkMans domhandler@2.3.0
71648 silly build minimist@1.2.0
71649 info linkStuff minimist@1.2.0
71650 silly linkStuff minimist@1.2.0 has /Users/Yann/Projects/angular-gettext/node_modules/ecstatic/node_modules as its parent node_modules
71651 verbose linkBins minimist@1.2.0
71652 verbose linkMans minimist@1.2.0
71653 silly build ee-first@1.1.1
71654 info linkStuff ee-first@1.1.1
71655 silly linkStuff ee-first@1.1.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71656 verbose linkBins ee-first@1.1.1
71657 verbose linkMans ee-first@1.1.1
71658 silly build encodeurl@1.0.1
71659 info linkStuff encodeurl@1.0.1
71660 silly linkStuff encodeurl@1.0.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71661 verbose linkBins encodeurl@1.0.1
71662 verbose linkMans encodeurl@1.0.1
71663 silly build isarray@0.0.1
71664 info linkStuff isarray@0.0.1
71665 silly linkStuff isarray@0.0.1 has /Users/Yann/Projects/angular-gettext/node_modules/engine.io-parser/node_modules as its parent node_modules
71666 verbose linkBins isarray@0.0.1
71667 verbose linkMans isarray@0.0.1
71668 silly build has-binary@0.1.6
71669 info linkStuff has-binary@0.1.6
71670 silly linkStuff has-binary@0.1.6 has /Users/Yann/Projects/angular-gettext/node_modules/engine.io-parser/node_modules as its parent node_modules
71671 verbose linkBins has-binary@0.1.6
71672 verbose linkMans has-binary@0.1.6
71673 silly build ent@2.2.0
71674 info linkStuff ent@2.2.0
71675 silly linkStuff ent@2.2.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71676 verbose linkBins ent@2.2.0
71677 verbose linkMans ent@2.2.0
71678 silly build entities@1.1.1
71679 info linkStuff entities@1.1.1
71680 silly linkStuff entities@1.1.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71681 verbose linkBins entities@1.1.1
71682 verbose linkMans entities@1.1.1
71683 silly build dom-serializer@0.1.0
71684 info linkStuff dom-serializer@0.1.0
71685 silly linkStuff dom-serializer@0.1.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71686 verbose linkBins dom-serializer@0.1.0
71687 verbose linkMans dom-serializer@0.1.0
71688 silly build domutils@1.5.1
71689 info linkStuff domutils@1.5.1
71690 silly linkStuff domutils@1.5.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71691 verbose linkBins domutils@1.5.1
71692 verbose linkMans domutils@1.5.1
71693 silly build es6-promise@4.0.5
71694 info linkStuff es6-promise@4.0.5
71695 silly linkStuff es6-promise@4.0.5 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71696 verbose linkBins es6-promise@4.0.5
71697 verbose linkMans es6-promise@4.0.5
71698 silly build escape-html@1.0.3
71699 info linkStuff escape-html@1.0.3
71700 silly linkStuff escape-html@1.0.3 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71701 verbose linkBins escape-html@1.0.3
71702 verbose linkMans escape-html@1.0.3
71703 silly build escape-string-regexp@1.0.5
71704 info linkStuff escape-string-regexp@1.0.5
71705 silly linkStuff escape-string-regexp@1.0.5 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71706 verbose linkBins escape-string-regexp@1.0.5
71707 verbose linkMans escape-string-regexp@1.0.5
71708 silly build espree@2.2.5
71709 info linkStuff espree@2.2.5
71710 silly linkStuff espree@2.2.5 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71711 verbose linkBins espree@2.2.5
71712 verbose link bins [ { esparse: './bin/esparse.js',
71712 verbose link bins     esvalidate: './bin/esvalidate.js' },
71712 verbose link bins   '/Users/Yann/Projects/angular-gettext/node_modules/.bin',
71712 verbose link bins   false ]
71713 verbose linkMans espree@2.2.5
71714 silly gentlyRm /Users/Yann/Projects/angular-gettext/node_modules/.bin/esparse is being purged
71715 verbose gentlyRm don't care about contents; nuking /Users/Yann/Projects/angular-gettext/node_modules/.bin/esparse
71716 silly gentlyRm /Users/Yann/Projects/angular-gettext/node_modules/.bin/esvalidate is being purged
71717 verbose gentlyRm don't care about contents; nuking /Users/Yann/Projects/angular-gettext/node_modules/.bin/esvalidate
71718 silly build estraverse@4.2.0
71719 info linkStuff estraverse@4.2.0
71720 silly linkStuff estraverse@4.2.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71721 verbose linkBins estraverse@4.2.0
71722 verbose linkMans estraverse@4.2.0
71723 silly build etag@1.7.0
71724 info linkStuff etag@1.7.0
71725 silly linkStuff etag@1.7.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71726 verbose linkBins etag@1.7.0
71727 verbose linkMans etag@1.7.0
71728 silly build eventemitter2@0.4.14
71729 info linkStuff eventemitter2@0.4.14
71730 silly linkStuff eventemitter2@0.4.14 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71731 verbose linkBins eventemitter2@0.4.14
71732 verbose linkMans eventemitter2@0.4.14
71733 silly build eventemitter3@1.2.0
71734 info linkStuff eventemitter3@1.2.0
71735 silly linkStuff eventemitter3@1.2.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71736 verbose linkBins eventemitter3@1.2.0
71737 verbose linkMans eventemitter3@1.2.0
71738 silly build exit@0.1.2
71739 info linkStuff exit@0.1.2
71740 silly linkStuff exit@0.1.2 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71741 verbose linkBins exit@0.1.2
71742 verbose linkMans exit@0.1.2
71743 silly build is-number@0.1.1
71744 info linkStuff is-number@0.1.1
71745 silly linkStuff is-number@0.1.1 has /Users/Yann/Projects/angular-gettext/node_modules/expand-braces/node_modules as its parent node_modules
71746 verbose linkBins is-number@0.1.1
71747 verbose linkMans is-number@0.1.1
71748 silly build repeat-string@0.2.2
71749 info linkStuff repeat-string@0.2.2
71750 silly linkStuff repeat-string@0.2.2 has /Users/Yann/Projects/angular-gettext/node_modules/expand-braces/node_modules as its parent node_modules
71751 verbose linkBins repeat-string@0.2.2
71752 verbose linkMans repeat-string@0.2.2
71753 silly build expand-range@0.1.1
71754 info linkStuff expand-range@0.1.1
71755 silly linkStuff expand-range@0.1.1 has /Users/Yann/Projects/angular-gettext/node_modules/expand-braces/node_modules as its parent node_modules
71756 verbose linkBins expand-range@0.1.1
71757 verbose linkMans expand-range@0.1.1
71758 silly build braces@0.1.5
71759 info linkStuff braces@0.1.5
71760 silly linkStuff braces@0.1.5 has /Users/Yann/Projects/angular-gettext/node_modules/expand-braces/node_modules as its parent node_modules
71761 verbose linkBins braces@0.1.5
71762 verbose linkMans braces@0.1.5
71763 silly build expand-braces@0.1.2
71764 info linkStuff expand-braces@0.1.2
71765 silly linkStuff expand-braces@0.1.2 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71766 verbose linkBins expand-braces@0.1.2
71767 verbose linkMans expand-braces@0.1.2
71768 silly build extend@3.0.0
71769 info linkStuff extend@3.0.0
71770 silly linkStuff extend@3.0.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71771 verbose linkBins extend@3.0.0
71772 verbose linkMans extend@3.0.0
71773 silly build agent-base@2.0.1
71774 info linkStuff agent-base@2.0.1
71775 silly linkStuff agent-base@2.0.1 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71776 verbose linkBins agent-base@2.0.1
71777 verbose linkMans agent-base@2.0.1
71778 silly build debug@0.7.4
71779 info linkStuff debug@0.7.4
71780 silly linkStuff debug@0.7.4 has /Users/Yann/Projects/angular-gettext/node_modules/extract-zip/node_modules as its parent node_modules
71781 verbose linkBins debug@0.7.4
71782 verbose linkMans debug@0.7.4
71783 silly build minimist@0.0.8
71784 info linkStuff minimist@0.0.8
71785 silly linkStuff minimist@0.0.8 has /Users/Yann/Projects/angular-gettext/node_modules/extract-zip/node_modules as its parent node_modules
71786 verbose linkBins minimist@0.0.8
71787 verbose linkMans minimist@0.0.8
71788 silly build mkdirp@0.5.0
71789 info linkStuff mkdirp@0.5.0
71790 silly linkStuff mkdirp@0.5.0 has /Users/Yann/Projects/angular-gettext/node_modules/extract-zip/node_modules as its parent node_modules
71791 verbose linkBins mkdirp@0.5.0
71792 verbose link bins [ { mkdirp: 'bin/cmd.js' },
71792 verbose link bins   '/Users/Yann/Projects/angular-gettext/node_modules/extract-zip/node_modules/.bin',
71792 verbose link bins   false ]
71793 verbose linkMans mkdirp@0.5.0
71794 silly gentlyRm /Users/Yann/Projects/angular-gettext/node_modules/extract-zip/node_modules/.bin/mkdirp is being purged
71795 verbose gentlyRm don't care about contents; nuking /Users/Yann/Projects/angular-gettext/node_modules/extract-zip/node_modules/.bin/mkdirp
71796 silly build extsprintf@1.0.2
71797 info linkStuff extsprintf@1.0.2
71798 silly linkStuff extsprintf@1.0.2 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71799 verbose linkBins extsprintf@1.0.2
71800 verbose linkMans extsprintf@1.0.2
71801 silly build eyes@0.1.8
71802 info linkStuff eyes@0.1.8
71803 silly linkStuff eyes@0.1.8 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71804 verbose linkBins eyes@0.1.8
71805 verbose linkMans eyes@0.1.8
71806 silly build filename-regex@2.0.0
71807 info linkStuff filename-regex@2.0.0
71808 silly linkStuff filename-regex@2.0.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71809 verbose linkBins filename-regex@2.0.0
71810 verbose linkMans filename-regex@2.0.0
71811 silly build minimatch@3.0.3
71812 info linkStuff minimatch@3.0.3
71813 silly linkStuff minimatch@3.0.3 has /Users/Yann/Projects/angular-gettext/node_modules/findup-sync/node_modules as its parent node_modules
71814 verbose linkBins minimatch@3.0.3
71815 verbose linkMans minimatch@3.0.3
71816 silly build for-in@0.1.6
71817 info linkStuff for-in@0.1.6
71818 silly linkStuff for-in@0.1.6 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71819 verbose linkBins for-in@0.1.6
71820 verbose linkMans for-in@0.1.6
71821 silly build for-own@0.1.4
71822 info linkStuff for-own@0.1.4
71823 silly linkStuff for-own@0.1.4 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71824 verbose linkBins for-own@0.1.4
71825 verbose linkMans for-own@0.1.4
71826 silly build forever-agent@0.2.0
71827 info linkStuff forever-agent@0.2.0
71828 silly linkStuff forever-agent@0.2.0 has /Users/Yann/Projects/angular-gettext/node_modules as its parent node_modules
71829 verbose linkBins forever-agent@0.2.0
71830 verbose linkMans forever-agent@0.2.0
71831 silly build async@0.2.10
71832 info linkStuff async@0.2.10
71833 silly linkStuff async@0.2.10 has /Users/Yann/Projects/angular-gettext/node_modules/form-data/node_modules as its parent node_modules
71834 verbose linkBins async@0.2.10
71835 verbose linkMans async@0.2.10
